"Бренд","MPN","Наименование продукта","Цена","URL-адрес страницы","Данные о наличии продукта","Категория товара","Оценка товара","Количество отзывов"
"Samsung","SM-R370","Фитнес-браслет Samsung Galaxy Fit SM-R370 (Black)",1213250,"https://goodzone.uz/product/fitnes-braslet-samsung-galaxy-fit-sm-r370-black",2,"Фитнес-браслеты и умные часы",0,0
"Samsung","Galaxy A30 (Black)","Смартфон Samsung Galaxy A30 (Black)",1962300,"https://goodzone.uz/product/smartfon-samsung-galaxy-a30-black",0,"Смартфоны",0,0
"Samsung","Galaxy A50 (Black)","Смартфон Samsung Galaxy A50 (Black)",2690250,"https://goodzone.uz/product/smartfon-samsung-galaxy-a50-black",0,"Смартфоны",0,0
"Samsung","Galaxy A20 (Black)","Смартфон Samsung Galaxy A20 (Black)",2110000,"https://goodzone.uz/product/smartfon-samsung-galaxy-a20-black",0,"Смартфоны",5,1
"Samsung","Galaxy A30 32GB (White)","Смартфон Samsung Galaxy A30 32GB (White)",1962300,"https://goodzone.uz/product/smartfon-samsung-galaxy-a30-32gb-white",0,"Смартфоны",0,0
"Samsung","Galaxy A70 Black","Смартфон Samsung Galaxy A70 (Black)",3956250,"https://goodzone.uz/product/smartfon-samsung-galaxy-a70-black",0,"Смартфоны",0,0
"Samsung","Galaxy A80 Phantom Black","Смартфон Samsung Galaxy A80 (Black)",5855250,"https://goodzone.uz/product/smartfon-samsung-galaxy-a80-black",0,"Смартфоны",0,0
"Samsung","Galaxy A10s Blue","Смартфон Samsung Galaxy A10s (Blue)",1666900,"https://goodzone.uz/product/smartfon-samsung-galaxy-a10s-blue",13,"Смартфоны",0,0
"Samsung","A30s 32 GB (Black)","Смартфон Samsung Galaxy A30s (Black)",2215500,"https://goodzone.uz/product/smartfon-samsung-galaxy-a30s-black",0,"Смартфоны",0,0
"Samsung","Note 10","Смартфон Samsung Galaxy Note 10",8018000,"https://goodzone.uz/product/smartfon-samsung-galaxy-note10",0,"Смартфоны",0,0
"Samsung","Galaxy A51 (Black)","Смартфон Samsung Galaxy A51 (Black)",3165000,"https://goodzone.uz/product/smartfon-samsung-galaxy-a51-black",1,"Смартфоны",0,0
"Samsung","RT22HAR4DSA","Холодильник Samsung	RT22HAR4DSA",4589250,"https://goodzone.uz/product/kholodilnik-samsung-rt22har4dsa",4,"Холодильники",0,0
"Samsung","RT25HAR4DSA","Холодильник Samsung RT25HAR4DSA",4747500,"https://goodzone.uz/product/kholodilnik-samsung-rt25har4dsa",4,"Холодильники",0,0
"Samsung","RT53K6340SL","Холодильник Samsung RT53K6340SL",11288500,"https://goodzone.uz/product/kholodilnik-samsung-rt53k6340sl",1,"Холодильники",0,0
"Samsung","RB31FERNDWW/WT","Холодильник Samsung ART RB31FERNDWW/WT",6034600,"https://goodzone.uz/product/kholodilnik-samsung-art-rb31ferndww-wt",4,"Холодильники",0,0
"Samsung","RB29FSRNDEF","Холодильник	Samsung ART	RB29FSRNDEF",5454350,"https://goodzone.uz/product/kholodilnik-samsung-art-rb29fsrndef",3,"Холодильники",0,0
"Samsung","RT38K5535S8","Холодильник	Samsung	RT38K5535S8",6699250,"https://goodzone.uz/product/kholodilnik-samsung-rt38k5535s8",1,"Холодильники",0,0
"Samsung","RT53K6530SL","Холодильник	Samsung	RT53K6530SL",10339000,"https://goodzone.uz/product/kholodilnik-samsung-rt53k6530sl",1,"Холодильники",0,0
"Samsung","RB 29 FERNDWW/WT","Холодильник	Samsung ART	RB 29 FERNDWW/WT",5306650,"https://goodzone.uz/product/kholodilnik-samsung-art-rb-29-ferndww-wt",1,"Холодильники",0,0
"Samsung","RT32FAJBDSA","Холодильник Samsung ART RT32FAJBDSA",5243350,"https://goodzone.uz/product/kholodilnik-samsung-art-rt32fajbdsa",0,"Холодильники",0,0
"Samsung","RB31FERNDEF","Холодильник	Samsung ART	RB31FERNDEF",6192850,"https://goodzone.uz/product/kholodilnik-samsung-art-rb31ferndef",2,"Холодильники",0,0
"Samsung","RB37K63412C","Холодильник Samsung	RB37K63412C",11394000,"https://goodzone.uz/product/kholodilnik-samsung-rb37k63412c",0,"Холодильники",0,0
"Samsung","RB30N4020B1/WT","Холодильник Samsung	RB30N4020B1/WT",5926462.5,"https://goodzone.uz/product/kholodilnik-samsung-rb30n4020b1-wt",2,"Холодильники",0,0
"Samsung","ART WW60J4060HWULD","Стиральная машина Samsung ART WW60J4060HWULD",3112250,"https://goodzone.uz/product/stiralnaya-mashina-samsung-art-ww60j4060hwuld",0,"Стиральные машины",0,0
"Samsung","WW80K62E61SDLD","Стиральная машина Samsung WW80K62E61SDLD",4800250,"https://goodzone.uz/product/stiralnaya-mashina-samsung-ww80k62e61sdld",0,"Стиральные машины",0,0
"Samsung","WW60J4210JWULD","Стиральная машина Samsung ART WW60J4210JWULD",3798000,"https://goodzone.uz/product/stiralnaya-mashina-samsung-art-ww60j4210jwuld",2,"Стиральные машины",0,0
"Samsung","UE40M5070AUCUZ","Телевизор Samsung ART UE40M5070AUCUZ",2848500,"https://goodzone.uz/product/televizor-samsung-art-ue40m5070aucuz",7,"Телевизоры",0,0
"Samsung","UE43J5202AU","Телевизор Samsung UE43J5202AU",3692500,"https://goodzone.uz/product/televizor-samsung-ue43j5202au",0,"Телевизоры",0,0
"Samsung","UE49J5300AU","Телевизор Samsung ART UE49J5300AU",5538750,"https://goodzone.uz/product/televizor-samsung-art-ue49j5300au",1,"Телевизоры",0,0
"Samsung","UE43RU7400","Телевизор Samsung ART UE43RU7400",4694750,"https://goodzone.uz/product/televizor-samsung-art-ue43ru7400",6,"Телевизоры",0,0
"Samsung","UE55M5500AUCCE","Телевизор Samsung ART UE55M5500AUCCE",8745950,"https://goodzone.uz/product/televizor-samsung-art-ue55m5500aucce",2,"Телевизоры",0,0
"Samsung","UE40J5200AU","Телевизор Samsung ART UE40J5200AU",3376000,"https://goodzone.uz/product/televizor-samsung-art-ue40j5200au",3,"Телевизоры",5,1
"Samsung","UE43N5000U","Телевизор Samsung ART UE43N5000U",3165000,"https://goodzone.uz/product/televizor-samsung-art-ue43n5000u",7,"Телевизоры",0,0
"Samsung","UE55NU7100U","Телевизор Samsung ART UE55NU7100U",6752000,"https://goodzone.uz/product/televizor-samsung-art-ue55nu7100u",0,"Телевизоры",0,0
"Samsung","UE55NU7400U","Телевизор Samsung ART UE55NU7400U",7385000,"https://goodzone.uz/product/televizor-samsung-art-ue55nu7400u",0,"Телевизоры",0,0
"Samsung","UE49M5070AUCUZ","Samsung ART UE49M5070AUCUZ",5064000,"https://goodzone.uz/product/samsung-art-ue49m5070aucuz",1,"Телевизоры",0,0
"Samsung","J2 Core J260 GOLD","Смартфон Samsung Galaxy J2 Core J260 GOLD",1139400,"https://goodzone.uz/product/smartfon-samsung-galaxy-j2-core-j260-gold",1,"Смартфоны",0,0
"Samsung","Galaxy A30 Blue","Смартфон Samsung Galaxy A30 Blue",1962300,"https://goodzone.uz/product/smartfon-samsung-galaxy-a30-blue",0,"Смартфоны",0,0
"Samsung","Galaxy A10 Black","Смартфон Samsung Galaxy A10 Black",1529750,"https://goodzone.uz/product/smartfon-samsung-galaxy-a10-black",0,"Смартфоны",0,0
"Samsung","Galaxy A70 Blue","Смартфон Samsung Galaxy A70 Blue",3745250,"https://goodzone.uz/product/smartfon-samsung-galaxy-a70-blue",2,"Смартфоны",0,0
"Samsung","Galaxy A10s Black","Смартфон Samsung Galaxy A10s Black",1666900,"https://goodzone.uz/product/smartfon-samsung-galaxy-a10s-black",8,"Смартфоны",0,0
"Samsung","A30s Green 32GB","Смартфон Samsung Galaxy A30s Green 32GB",2162750,"https://goodzone.uz/product/smartfon-samsung-galaxy-a30s-gren-32gb",0,"Смартфоны",0,0
"Samsung","Galaxy A20s Black","Смартфон Samsung Galaxy A20s Black",1899000,"https://goodzone.uz/product/smartfon-samsung-galaxy-a20s-black",2,"Смартфоны",0,0
"Samsung","Galaxy A20s Blue","Смартфон Samsung Galaxy A20s Blue",1899000,"https://goodzone.uz/product/smartfon-samsung-galaxy-a20s-blue",0,"Смартфоны",0,0
